Year	Month	Day	AirTemp	GlobRad	Precip	RefEvap
1990 	01 	02	-1.00	5.79	0.00	0.10
1990 	01 	03	0.20	4.63	0.00	0.00
1990 	01 	04	-0.50	3.47	0.00	0.00
1990 	01 	05	0.80	5.79	0.00	0.10
1990 	01 	06	1.40	5.79	0.00	0.10
1990 	01 	07	2.10	3.47	0.00	0.00
1990 	01 	08	3.10	4.63	1.50	0.10
1990 	01 	09	3.80	8.10	2.40	0.10
1990 	01 	10	5.70	10.42	0.30	0.10
1990 	01 	11	7.90	4.63	1.60	0.10
1990 	01 	12	5.50	21.99	0.00	0.30
1990 	01 	13	2.90	17.36	0.00	0.20
1990 	01 	14	1.90	6.94	0.00	0.10
1990 	01 	15	6.80	3.47	1.50	0.00
1990 	01 	16	7.60	37.04	4.20	0.50
1990 	01 	17	6.20	16.20	2.60	0.20
1990 	01 	18	3.50	32.41	0.80	0.40
1990 	01 	19	4.50	13.89	0.00	0.20
1990 	01 	20	6.00	25.46	1.80	0.30
1990 	01 	21	6.90	10.42	1.30	0.10
1990 	01 	22	6.90	5.79	1.30	0.10
1990 	01 	23	6.40	6.94	0.70	0.10
1990 	01 	24	2.80	30.09	3.00	0.30
1990 	01 	25	4.40	12.73	2.60	0.10
1990 	01 	26	4.30	11.57	15.70	0.10
1990 	01 	27	3.70	20.83	0.30	0.20
1990 	01 	28	5.10	8.10	0.00	0.10
1990 	01 	29	4.40	42.82	5.60	0.50
1990 	01 	30	4.80	33.56	0.00	0.40
1990 	01 	31	6.20	17.36	0.00	0.20
1990 	02 	01	5.90	31.25	0.30	0.40
1990 	02 	02	5.30	17.36	0.30	0.20
1990 	02 	03	5.20	19.68	0.30	0.20
1990 	02 	04	6.70	49.77	9.70	0.60
1990 	02 	05	6.00	52.08	1.50	0.60
1990 	02 	06	5.10	65.97	0.00	0.80
1990 	02 	07	8.70	39.35	0.00	0.50
1990 	02 	08	6.70	17.36	10.70	0.20
1990 	02 	09	6.00	53.24	0.30	0.60
1990 	02 	10	5.10	38.19	0.00	0.40
1990 	02 	11	4.20	27.78	1.00	0.30
1990 	02 	12	3.20	12.73	0.00	0.10
1990 	02 	13	3.20	68.29	2.00	0.80
1990 	02 	14	1.00	32.41	0.40	0.30
1990 	02 	15	-1.00	54.40	0.30	0.50
1990 	02 	16	1.00	30.09	0.00	0.30
1990 	02 	17	4.30	69.44	0.00	0.80
1990 	02 	18	5.40	52.08	1.50	0.60
1990 	02 	19	6.70	24.31	0.00	0.30
1990 	02 	20	10.90	18.52	1.20	0.30
1990 	02 	21	8.30	67.13	0.00	0.90
1990 	02 	22	7.60	91.44	2.30	1.20
1990 	02 	23	7.40	97.22	0.00	1.20
1990 	02 	24	10.00	69.44	0.00	0.90
1990 	02 	25	6.90	55.56	0.00	0.70
1990 	02 	26	5.00	19.68	3.40	0.20
1990 	02 	27	3.80	78.70	9.40	0.90
1990 	02 	28	4.40	43.98	2.30	0.50
1990 	03 	01	2.10	35.88	7.70	0.40
1990 	03 	02	1.40	94.91	3.10	1.00
1990 	03 	03	4.60	121.53	4.30	1.40
1990 	03 	04	5.50	70.60	0.00	0.80
1990 	03 	05	6.20	23.15	1.80	0.30
1990 	03 	06	3.80	20.83	9.70	0.20
1990 	03 	07	7.00	38.19	2.20	0.50
1990 	03 	08	7.00	18.52	2.00	0.20
1990 	03 	09	3.90	53.24	0.50	0.60
1990 	03 	10	6.10	85.65	5.50	1.00
1990 	03 	11	7.50	21.99	4.60	0.30
1990 	03 	12	5.00	104.17	1.10	1.20
1990 	03 	13	3.90	142.36	0.00	1.60
1990 	03 	14	3.50	27.78	0.00	0.30
1990 	03 	15	7.10	106.48	1.40	1.30
1990 	03 	16	8.20	141.20	0.00	1.80
1990 	03 	17	8.30	137.73	0.00	1.80
1990 	03 	18	9.50	151.62	0.00	2.00
1990 	03 	19	9.40	97.22	0.00	1.30
1990 	03 	20	7.00	133.10	5.30	1.70
1990 	03 	21	9.20	43.98	0.00	0.60
1990 	03 	22	7.90	87.96	0.40	1.10
1990 	03 	23	8.10	67.13	0.00	0.90
1990 	03 	24	5.90	23.15	0.00	0.30
1990 	03 	25	5.40	107.64	4.40	1.30
1990 	03 	26	3.60	159.72	0.00	1.80
1990 	03 	27	3.40	187.50	0.00	2.10
1990 	03 	28	3.60	185.19	0.00	2.10
1990 	03 	29	6.30	185.19	0.00	2.30
1990 	03 	30	8.20	123.84	0.00	1.60
1990 	03 	31	9.80	168.98	0.00	2.30
1990 	04 	01	9.10	192.13	0.00	2.50
1990 	04 	02	11.80	178.24	0.00	2.50
1990 	04 	03	6.20	83.33	0.00	1.00
1990 	04 	04	3.00	142.36	0.40	1.60
1990 	04 	05	3.60	185.19	0.50	2.10
1990 	04 	06	5.70	178.24	0.00	2.10
1990 	04 	07	4.00	208.33	0.40	2.40
1990 	04 	08	1.80	231.48	0.00	2.40
1990 	04 	09	3.30	236.11	0.00	2.60
1990 	04 	10	5.50	98.38	0.00	1.20
1990 	04 	11	5.60	128.47	2.50	1.50
1990 	04 	12	8.20	208.33	0.00	2.70
1990 	04 	13	7.40	43.98	0.50	0.60
1990 	04 	14	8.00	104.17	0.00	1.30
1990 	04 	15	6.80	181.71	8.10	2.20
1990 	04 	16	6.30	157.41	5.10	1.90
1990 	04 	17	5.30	133.10	5.00	1.60
1990 	04 	18	5.70	237.27	8.60	2.80
1990 	04 	19	7.90	128.47	0.00	1.60
1990 	04 	20	12.10	196.76	0.60	2.80
1990 	04 	21	12.00	224.54	0.00	3.20
1990 	04 	22	11.40	233.80	0.00	3.30
1990 	04 	23	12.70	236.11	0.00	3.40
1990 	04 	24	12.80	217.59	0.00	3.20
1990 	04 	25	11.80	222.22	0.00	3.20
1990 	04 	26	10.70	166.67	0.00	2.30
1990 	04 	27	6.80	174.77	11.20	2.20
1990 	04 	28	8.20	225.69	6.30	2.90
1990 	04 	29	11.60	148.15	0.00	2.10
1990 	04 	30	12.80	276.62	0.00	4.00
1990 	05 	01	14.80	280.09	0.00	4.30
1990 	05 	02	13.90	281.25	0.00	4.20
1990 	05 	03	16.60	281.25	0.00	4.40
1990 	05 	04	15.60	291.67	0.00	4.50
1990 	05 	05	15.30	283.56	0.00	4.40
1990 	05 	06	15.70	283.56	0.00	4.40
1990 	05 	07	16.20	284.72	0.00	4.50
1990 	05 	08	15.80	278.94	0.00	4.30
1990 	05 	09	16.10	168.98	0.00	2.60
1990 	05 	10	15.90	222.22	0.90	3.50
1990 	05 	11	13.10	190.97	0.00	2.80
1990 	05 	12	10.10	52.08	0.40	0.70
1990 	05 	13	11.60	153.94	1.80	2.20
1990 	05 	14	10.80	159.72	1.90	2.20
1990 	05 	15	11.30	96.06	3.40	1.30
1990 	05 	16	13.20	156.25	0.70	2.30
1990 	05 	17	10.00	162.04	5.50	2.20
1990 	05 	18	9.80	197.92	1.50	2.70
1990 	05 	19	10.00	314.81	0.30	4.30
1990 	05 	20	10.80	223.38	0.00	3.10
1990 	05 	21	11.60	222.22	0.00	3.10
1990 	05 	22	11.50	239.58	0.00	3.40
1990 	05 	23	11.80	230.32	0.00	3.30
1990 	05 	24	11.00	206.02	0.00	2.90
1990 	05 	25	9.60	241.90	1.70	3.20
1990 	05 	26	10.00	297.45	0.40	4.00
1990 	05 	27	7.80	178.24	0.00	2.30
1990 	05 	28	11.00	275.46	8.30	3.80
1990 	05 	29	11.50	325.23	0.00	4.60
1990 	05 	30	12.80	293.98	0.00	4.30
1990 	05 	31	13.80	112.27	0.00	1.70
1990 	06 	01	13.00	175.93	0.00	2.60
1990 	06 	02	13.20	137.73	0.00	2.00
1990 	06 	03	14.10	262.73	5.80	3.90
1990 	06 	04	13.10	142.36	0.00	2.10
1990 	06 	05	15.20	262.73	1.90	4.00
1990 	06 	06	14.90	224.54	0.00	3.40
1990 	06 	07	16.30	263.89	0.60	4.10
1990 	06 	08	14.80	85.65	0.00	1.30
1990 	06 	09	16.50	254.63	3.40	4.00
1990 	06 	10	16.30	268.52	0.00	4.20
1990 	06 	11	16.60	309.03	0.00	4.90
1990 	06 	12	16.30	283.56	0.00	4.40
1990 	06 	13	14.50	230.32	0.00	3.50
1990 	06 	14	14.30	217.59	0.00	3.30
1990 	06 	15	13.70	148.15	0.00	2.20
1990 	06 	16	14.40	215.28	2.60	3.20
1990 	06 	17	13.20	142.36	0.00	2.10
1990 	06 	18	15.40	238.43	0.00	3.70
1990 	06 	19	17.10	164.35	0.00	2.60
1990 	06 	20	16.90	107.64	2.00	1.70
1990 	06 	21	15.50	159.72	16.70	2.50
1990 	06 	22	15.10	113.43	0.70	1.70
1990 	06 	23	14.40	252.31	5.90	3.80
1990 	06 	24	15.10	209.49	1.50	3.20
1990 	06 	25	15.60	148.15	1.60	2.30
1990 	06 	26	18.60	228.01	0.00	3.70
1990 	06 	27	18.10	77.55	0.00	1.30
1990 	06 	28	16.80	171.30	10.50	2.70
1990 	06 	29	15.80	233.80	0.00	3.60
1990 	06 	30	17.30	276.62	0.00	4.40
1990 	07 	01	16.60	129.63	0.00	2.00
1990 	07 	02	14.00	261.57	2.80	3.90
1990 	07 	03	12.80	226.85	1.20	3.30
1990 	07 	04	15.40	270.83	0.40	4.20
1990 	07 	05	14.20	77.55	0.00	1.20
1990 	07 	06	14.10	182.87	14.10	2.70
1990 	07 	07	14.50	199.07	5.40	3.00
1990 	07 	08	15.30	70.60	0.00	1.10
1990 	07 	09	14.80	193.29	2.40	2.90
1990 	07 	10	14.90	222.22	1.20	3.40
1990 	07 	11	15.10	186.34	0.50	2.80
1990 	07 	12	15.10	276.62	0.00	4.20
1990 	07 	13	13.70	196.76	0.00	2.90
1990 	07 	14	15.30	332.18	0.00	5.10
1990 	07 	15	16.40	318.29	0.00	5.00
1990 	07 	16	17.30	305.56	0.00	4.90
1990 	07 	17	16.30	180.56	0.00	2.80
1990 	07 	18	17.80	291.67	0.50	4.70
1990 	07 	19	17.90	306.71	0.00	5.00
1990 	07 	20	19.00	241.90	0.00	4.00
